ori,des,path,len
72,306,72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,916
357,306,357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306,767
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
390,329,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329,2000
324,315,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315,1328
367,174,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174,1407
248,66,248_31_356_35_338_361_352_1_127_408_71_26_341_6_66,586
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,2098
59,80,59_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,771
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1057
324,376,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376,906
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2160
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,1073
231,391,231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1060
91,242,91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_241_242,1095
345,23,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23,1789
326,181,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181,1272
395,349,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349,630
324,325,324_326_279_281_325,218
400,392,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1419
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
324,233,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233,968
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
248,4,248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,1436
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
