u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
95663504,95663374,9566350495663374,#N/A,0,10741726,TRUE,,Βίκτωρος Ουγκώ,residential,FALSE,129.256,"LINESTRING (23.7247728 37.9861335, 23.7233743 37.9863477, 23.723325 37.9863552)",,,,
95663504,6693568141,956635046693568141,#N/A,0,261671452,TRUE,1,Μάγερ,tertiary,FALSE,19.881999999999998,"LINESTRING (23.7247728 37.9861335, 23.7247097 37.9860121, 23.7246801 37.9859706)",,,,
95663524,633562897,95663524633562897,#N/A,0,204621371,TRUE,,Μαιζώνος,residential,FALSE,48.616,"LINESTRING (23.7247626 37.9873335, 23.724221 37.9874281)",,,,
95663524,98303817,9566352498303817,#N/A,0,10976009,TRUE,,Σωνιέρου,residential,FALSE,69.556,"LINESTRING (23.7247626 37.9873335, 23.724611 37.9867686, 23.7245984 37.9867215)",,,,
95663527,95663492,9566352795663492,#N/A,0,10741758,TRUE,1,Μενάνδρου,tertiary,FALSE,34.248,"LINESTRING (23.7261306 37.9868185, 23.7260626 37.9865152)",,,,
95663527,95663418,9566352795663418,9566352795663418,0,82682796,FALSE,4,Μάρνη,secondary,TRUE,46.646,"LINESTRING (23.7261306 37.9868185, 23.7257031 37.9865686)",,,,
95663527,8253823131,956635278253823131,956635278253823131,0,82682796,FALSE,4,Μάρνη,secondary,FALSE,25.402,"LINESTRING (23.7261306 37.9868185, 23.7263268 37.9869334, 23.7263633 37.9869547)",,,,
95663631,95663394,9566363195663394,#N/A,0,168725561,TRUE,2,3ης Σεπτεμβρίου,secondary,FALSE,74.21900000000001,"LINESTRING (23.7293547 37.9895011, 23.7294294 37.989798, 23.7295101 37.9901186, 23.7295195 37.9901558)",,,,
97788192,6356544246,977881926356544246,#N/A,0,10741757,TRUE,,Σολωμού,residential,FALSE,80.867,"LINESTRING (23.730119 37.9870177, 23.730982 37.9868835, 23.7310243 37.986877)",,5,,
97788192,516020524,97788192516020524,#N/A,0,311408820,TRUE,3,Πατησίων,primary,FALSE,62.943,"LINESTRING (23.730119 37.9870177, 23.7301055 37.9869588, 23.7300079 37.9865313, 23.7299917 37.9864606)",,,ΕΟ1,
97788195,97788202,9778819597788202,#N/A,0,"[311453391, 41806639]",TRUE,2,Πατησίων,primary,FALSE,233.62100000000004,"LINESTRING (23.7302398 37.9875469, 23.7303601 37.9877108, 23.7304474 37.988052, 23.7305585 37.9884859, 23.730569 37.9885269, 23.7305808 37.9885728, 23.7306044 37.9886653, 23.7306218 37.988733, 23.7306348 37.9887839, 23.7306845 37.9889779, 23.7307614 37.9892786, 23.7307681 37.9893047, 23.7308398 37.9895847)",,,,
97788195,97788192,9778819597788192,#N/A,0,311408820,TRUE,3,Πατησίων,primary,FALSE,59.79,"LINESTRING (23.7302398 37.9875469, 23.7302317 37.9875115, 23.7302108 37.98742, 23.7301985 37.987366, 23.7301892 37.9873252, 23.730132 37.9870747, 23.730119 37.9870177)",,,ΕΟ1,
97788195,95663467,9778819595663467,#N/A,0,"[260124783, 755022871]",TRUE,2,Στουρνάρη,secondary,FALSE,118.36399999999999,"LINESTRING (23.7302398 37.9875469, 23.7300864 37.98757, 23.7293295 37.987684, 23.7290657 37.9877237, 23.7290223 37.9877303, 23.7289132 37.9877467)",,,,
97788202,97788210,9778820297788210,#N/A,0,168725546,TRUE,2,Πατησίων,primary,FALSE,40.033,"LINESTRING (23.7308398 37.9895847, 23.7309096 37.9898574, 23.7309198 37.9898972, 23.7309302 37.9899376)",,,,
97788210,97797184,9778821097797184,#N/A,0,243850913,TRUE,1,Βασιλέως Ηρακλείου,secondary,FALSE,83.804,"LINESTRING (23.7309302 37.9899376, 23.7310278 37.9899225, 23.7315421 37.989843, 23.7318686 37.9897925)",,8,,
97788210,97797102,9778821097797102,#N/A,0,243850915,TRUE,2,Πατησίων,primary,FALSE,99.697,"LINESTRING (23.7309302 37.9899376, 23.7310656 37.9904666, 23.7311551 37.9908165)",,,ΕΟ1,
97788213,95663402,9778821395663402,#N/A,0,10741746,TRUE,2,Αβέρωφ,tertiary,FALSE,86.738,"LINESTRING (23.7304716 37.9886561, 23.7303504 37.9886741, 23.7296083 37.9887844, 23.7295793 37.9887887, 23.729499 37.9888007)",,,,
97788213,97788195,9778821397788195,#N/A,0,"[260124785, 702087350]",TRUE,2,Πατησίων,primary,FALSE,125.28699999999998,"LINESTRING (23.7304716 37.9886561, 23.7304442 37.9885452, 23.7304133 37.9884198, 23.7303127 37.9880128, 23.7302688 37.987835, 23.7302409 37.9877222, 23.7302398 37.9875469)",,,ΕΟ1,
97788216,97788210,9778821697788210,#N/A,0,49277172,TRUE,1,Βασιλέως Ηρακλείου,secondary,FALSE,12.209,"LINESTRING (23.7307935 37.9899588, 23.7309302 37.9899376)",,11,,
97788216,597677303,97788216597677303,#N/A,0,249412140,TRUE,2,Πατησίων,primary,FALSE,52.36000000000001,"LINESTRING (23.7307935 37.9899588, 23.7307833 37.9899175, 23.7306978 37.9895749, 23.7306793 37.9894966)",,,ΕΟ1,
97788219,97788769,9778821997788769,#N/A,0,49277798,TRUE,,Δεληγιάννη,residential,FALSE,55.343,"LINESTRING (23.7336336 37.9894893, 23.7341014 37.989417, 23.7342533 37.9893935)",,,,
97788219,97797051,9778821997797051,#N/A,0,228109849,TRUE,,Μπουμπουλίνας,tertiary,FALSE,100.11399999999999,"LINESTRING (23.7336336 37.9894893, 23.7338448 37.9903351, 23.7338542 37.9903727)",,5,,
97788471,358465939,97788471358465939,#N/A,0,10971763,TRUE,2,Ιουλιανού,secondary,FALSE,69.58,"LINESTRING (23.7298367 37.9915157, 23.7297861 37.9915237, 23.7297398 37.991531, 23.7290582 37.9916387)",,,,
