u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
100928394,100928095,Moreton Street,residential,False,51.083,,,,,50.0,,,,,160
100928394,100928410,Samuel Street,residential,False,139.384,,,,,50.0,,,,,161
100928410,100928118,Merthyr Road,tertiary,False,51.515,,,,,50.0,,,,,162
100928410,130087805,Merthyr Road,tertiary,False,26.013,,,,,50.0,,,,,163
100928410,100928394,Samuel Street,residential,False,139.384,,,,,50.0,,,,,164
100928451,100928369,Watson Street,residential,False,50.509,,,,,50.0,,,,,165
100928451,100928470,Watson Street,residential,False,85.60499999999999,,,,,50.0,,,,,166
100928451,100928237,Amity Street,residential,False,136.582,,,,,50.0,,,,,167
100928470,100928385,Merthyr Road,tertiary,False,60.921,,,,,50.0,,,,,168
100928470,100929089,Merthyr Road,tertiary,False,37.937,,,,,50.0,,,,,169
100928470,100928451,Watson Street,residential,False,85.60499999999999,,,,,50.0,,,,,170
100928997,100928288,Sydney Street,tertiary,False,99.658,,,,,50.0,,,,,171
100928997,100929089,Mark Street,residential,False,243.038,,,,,50.0,,,,,172
100929015,100928288,Sydney Street,tertiary,False,127.71,,,,,50.0,,,,,173
100929015,100927922,,secondary,True,10.197,1.0,,,roundabout,50.0,,,,,174
100929041,100927887,Moreton Street,residential,False,67.892,,,,,50.0,,,,,175
100929041,100928218,Moreton Street,residential,False,68.502,,,,,50.0,,,,,176
100929041,100929065,Hazel Street,residential,False,135.788,,,,,50.0,,,,,177
100929065,100928269,Merthyr Road,tertiary,False,68.07,,,,,50.0,,,,,178
100929065,100927898,Merthyr Road,tertiary,False,68.472,,,,,50.0,,,,,179
100929065,100929041,Hazel Street,residential,False,135.788,,,,,50.0,,,,,180
100929089,100928470,Merthyr Road,tertiary,False,37.937,,,,,50.0,,,,,181
100929089,100928269,Merthyr Road,tertiary,False,98.399,,,,,50.0,,,,,182
100929089,100928997,Mark Street,residential,False,243.038,,,,,50.0,,,,,183
100950118,21616792,James Street,tertiary,False,100.763,2.0,,,,50.0,,,,,184
100950120,228462766,Browne Street,residential,False,161.086,,,,,,,,,,185
100950120,100950126,Byram Street,residential,False,166.27200000000002,,,,,,,,,,186
100950120,200802216,Browne Street,residential,False,113.138,,,,,,,,,,187
100950126,100950173,Villiers Street,residential,False,34.695,,,,,,,,,,188
100950126,100950170,Villiers Street,residential,False,44.145,,,,,,,,,,189
100950126,100950120,Byram Street,residential,False,166.272,,,,,,,,,,190
100950129,100950195,Merthyr Road,tertiary,False,76.554,,,,,50.0,,,,,191
100950129,170851355,Merthyr Road,tertiary,False,100.833,,,,,50.0,,,,,192
100950129,26336326,James Street,tertiary,False,160.886,,,,,,,,,,193
100950129,100950130,Lamington Street,tertiary,False,120.513,,,,,,,,,,194
100950130,170851357,"['Welsby Street', 'Gray Street']",residential,False,224.223,,,,,50.0,,,,,195
100950130,100950222,Welsby Street,residential,False,203.304,,,,,50.0,,,,,196
100950130,318625631,Lamington Street,tertiary,False,118.253,,,,,,,,,,197
100950130,100950129,Lamington Street,tertiary,False,120.513,,,,,,,,,,198
100950140,100960142,Dixon Street,residential,False,147.195,,,,,,,,,,199
100950140,100950144,Lamington Street,tertiary,False,69.475,,,,,,,,,,200
100950140,318625191,Refinery Parade,residential,True,208.963,,,,,,,,,,201
100950140,318625624,Lamington Street,tertiary,False,121.325,,,,,,,,,,202
100950144,100950140,Lamington Street,tertiary,False,69.475,,,,,,,,,,203
100950144,130077597,Lamington Street,tertiary,False,85.88,,,,,,,,,,204
100950144,130077597,Hollins Crescent,residential,True,224.399,,,,,,,,,,205
100950148,130077597,Lamington Street,tertiary,False,67.429,,,,,,,,,,206
100950148,100950148,Lamington Street,tertiary,True,72.31699999999998,,,,roundabout,,,,,,207
100950165,100950170,Villiers Street,residential,False,40.182,,,,,,,,,,208
100950165,26336326,Villiers Street,residential,False,36.715,,,,,,,,,,209
100950165,100950191,Chambers Street,residential,False,96.325,,,,,,,,,,210
100950170,100950126,Villiers Street,residential,False,44.145,,,,,,,,,,211
100950170,100950165,Villiers Street,residential,False,40.182,,,,,,,,,,212
100950170,100950195,Lechmere Street,residential,False,162.34099999999998,,,,,,,,,,213
100950173,100950176,Villiers Street,residential,False,47.809,,,,,,,,,,214
100950173,100950126,Villiers Street,residential,False,34.695,,,,,,,,,,215
100950173,100950200,Bailey Street,residential,False,162.087,,,,,,,,,,216
100950176,100950178,Villiers Street,residential,False,36.039,,,,,,,,,,217
100950176,100950173,Villiers Street,residential,False,47.809,,,,,,,,,,218
100950176,100950187,Forth Street,residential,False,96.999,,,,,,,,,,219
100950178,100950176,Villiers Street,residential,False,36.039,,,,,,,,,,220
100950178,100950181,Villiers Street,residential,False,126.018,,,,,,,,,,221
100950178,100950217,Charles Street,residential,False,74.68199999999999,,,,,,,,,,222
100950181,100927875,Villiers Street,residential,False,95.324,,,,,,,,,,223
100950181,100950178,Villiers Street,residential,False,126.018,,,,,,,,,,224
100950181,100950212,Hickey Street,residential,False,76.703,,,,,,,,,,225
100950187,100950176,Forth Street,residential,False,96.999,,,,,,,,,,226
100950191,100950165,Chambers Street,residential,False,96.325,,,,,,,,,,227
100950195,100950200,Merthyr Road,tertiary,False,79.714,,,,,50.0,,,,,228
100950195,100950170,Lechmere Street,residential,False,162.341,,,,,,,,,,229
100950195,100950129,Merthyr Road,tertiary,False,76.554,,,,,50.0,,,,,230
100950200,100950223,Merthyr Road,tertiary,False,46.952,,,,,50.0,,,,,231
100950200,100950195,Merthyr Road,tertiary,False,79.714,,,,,50.0,,,,,232
100950200,100950173,Bailey Street,residential,False,162.087,,,,,,,,,,233
100950204,303071943,Merthyr Road,tertiary,False,45.719,,,,,50.0,,,,,234
100950204,100950223,Merthyr Road,tertiary,False,33.642,,,,,50.0,,,,,235
100950204,100950217,Charles Street,residential,False,86.72,,,,,,,,,,236
100950209,100950212,Hickey Street,residential,False,85.659,,,,,,,,,,237
100950209,100927898,Merthyr Road,tertiary,False,94.634,,,,,50.0,,,,,238
100950209,303071943,Merthyr Road,tertiary,False,82.393,,,,,50.0,,,,,239
100950212,100950209,Hickey Street,residential,False,85.659,,,,,,,,,,240
100950212,303071936,Cross Street,residential,False,82.292,,,,,,,,,,241
100950212,100950181,Hickey Street,residential,False,76.703,,,,,,,,,,242
100950217,100950204,Charles Street,residential,False,86.72,,,,,,,,,,243
100950217,100950178,Charles Street,residential,False,74.68199999999999,,,,,,,,,,244
100950217,303071936,Cross Street,residential,False,43.824,,,,,,,,,,245
100950222,100950130,Welsby Street,residential,False,203.304,,,,,50.0,,,,,246
100950222,100927910,Welsby Street,residential,False,256.783,,,,,50.0,,,,,247
100950222,100950225,Alford Street,residential,False,119.531,,,,,,,,,,248
100950222,100950223,Alford Street,residential,False,121.095,,,,,,,,,,249
100950223,100950204,Merthyr Road,tertiary,False,33.642,,,,,50.0,,,,,250
100950223,100950200,Merthyr Road,tertiary,False,46.952,,,,,50.0,,,,,251
100950223,100950222,Alford Street,residential,False,121.095,,,,,,,,,,252
100950225,100950222,Alford Street,residential,False,119.531,,,,,,,,,,253
100950225,100927938,Sydney Street,residential,False,251.274,,,,,50.0,,,,,254
100950225,318625627,Sydney Street,residential,False,194.696,,,,,50.0,,,,,255
100960142,100950140,Dixon Street,residential,False,147.195,,,,,,,,,,256
130077597,100950148,Lamington Street,tertiary,False,67.429,,,,,,,,,,257
130077597,100950144,Lamington Street,tertiary,False,85.88,,,,,,,,,,258
130077597,3798145737,Hopetoun Way,residential,True,57.19199999999999,,,,,,,,,,259
130087805,100928410,Merthyr Road,tertiary,False,26.013,,,,,50.0,,,,,260
130087805,100928385,Merthyr Road,tertiary,False,53.019,,,,,50.0,,,,,261
130087805,130087812,Reginald Street,residential,False,77.044,,,,,50.0,,,,,262
130087812,130087805,Reginald Street,residential,False,77.04400000000001,,,,,50.0,,,,,263
170851355,170851357,Merthyr Road,tertiary,False,34.79,,,,,50.0,,,,,264
170851355,26336327,Hawthorne Street,residential,False,159.956,,,,,,,,,,265
170851355,100950129,Merthyr Road,tertiary,False,100.833,,,,,50.0,,,,,266
170851357,170851355,Merthyr Road,tertiary,False,34.79,,,,,50.0,,,,,267
170851357,100950130,"['Welsby Street', 'Gray Street']",residential,False,224.223,,,,,50.0,,,,,268
170851357,170851484,Merthyr Road,tertiary,False,37.979,,,,,,,,,,269
170851484,778867198,Riverview Court,residential,False,53.3,,,,,,,,,,270
170851484,170851357,Merthyr Road,tertiary,False,37.979,,,,,,,,,,271
170851484,170856227,Merthyr Road,tertiary,False,61.686,,,,,,,,,,272
170856227,170851484,Merthyr Road,tertiary,False,61.686,,,,,,,,,,273
170856227,200799161,Kingsholme Street,residential,False,110.248,,,,,50.0,,,,,274
170856227,201313808,Macquarie Street,tertiary,False,157.172,,,,,50.0,,,,,275
170856232,201289579,Beeston Street,residential,False,277.852,,,,,,,,,,276
170856232,201313808,Macquarie Street,tertiary,False,203.187,,,,,50.0,,,,,277
200760369,318625512,Chester Street,residential,False,63.231,,,,,,,,,,278
200760369,26336329,"['Chester Street', 'Gibbon Street']",residential,False,57.808,,,,,,,,,,279
200762420,26336329,Little Chester Street,residential,False,32.312,,,,,,,,,,280
200762420,201214373,Ellis Street,residential,False,73.603,,,,,,,,,,281
200762420,318624938,Little Chester Street,residential,False,124.098,,,,,,,,,,282
200798028,303071985,,tertiary,True,12.347,,,,roundabout,,,,,,283
200798028,26336320,James Street,tertiary,False,117.879,,,,,,,,,,284
200798029,200802216,,tertiary,True,12.994,,,,roundabout,,,,,,285
200798029,26336326,James Street,tertiary,False,159.62400000000002,,,,,,,,,,286
200798413,26336338,Annie Street,residential,False,79.141,,,,,,,,,,287
200798413,201283568,Annie Street,residential,True,19.413,,,,,,,,,,288
200799161,26336327,Villiers Street,residential,False,100.63,,,,,,,,,,289
200799161,200799162,Kingsholme Street,residential,False,27.063,,,,,50.0,,,,,290
200799161,170856227,Kingsholme Street,residential,False,110.248,,,,,50.0,,,,,291
